,original_title,keywords_log_rr,med_keywords_log_rr,keywords_log_rr0,keywords_log_rr1,keywords_log_rr2,keywords_log_rr3,keywords_log_rr4,keywords_log_rr-1,genre_log_rr,med_genre_log_rr,genre_log_rr0,genre_log_rr1,genre_log_rr2,genre_log_rr-1,plotkw_log_rr,med_plotkw_log_rr,plotkw_log_rr0,plotkw_log_rr1,plotkw_log_rr2,plotkw_log_rr3,plotkw_log_rr4,plotkw_log_rr-1
47,30 Minutes or Less,"[2.119666655, 1.6834772810714287, 1.2098791069078947, 1.1958787933333332, 0.48633681919642857, 0.44812285714285716]",1.2028789501206139,2.119666655,1.6834772810714287,1.2098791069078947,1.1958787933333332,0.48633681919642857,0.44812285714285716,"[nan, nan, nan, nan, nan, nan]",,,,,,"[1.4365689820383452, 0.8982362630563554, 0.3702681364574318, 0.3702681364574318, 0.3702681364574318]",0.3702681364574318,1.4365689820383452,0.8982362630563554,0.3702681364574318,0.3702681364574318,0.3702681364574318,0.3702681364574318
48,300,"[7.210119967832167, 6.877014275362319, 5.501698753846154, 5.501698753846154, 3.6616298935897436, 3.2045092470588235, 1.8400120952380952, 1.7962268]",4.581664323717948,7.210119967832167,6.877014275362319,5.501698753846154,5.501698753846154,3.6616298935897436,1.7962268,"[nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[1.5936308934164645, 1.4546768896075095, 0.9332079973200188, 0.9076057754861959, 0.7525060305509146]",0.9332079973200188,1.5936308934164645,1.4546768896075095,0.9332079973200188,0.9076057754861959,0.7525060305509146,0.7525060305509146
49,3000 Miles to Graceland,"[3.708816365079365, 2.065289, 0.7812194583333333, -0.38416866666666666, -0.6980616935483871, -0.6980616935483871]",0.1985253958333333,3.708816365079365,2.065289,0.7812194583333333,-0.38416866666666666,-0.6980616935483871,-0.6980616935483871,"[nan, nan, nan, nan, nan, nan]",,,,,,"[0.7526888733307614, 0.7124962605746601, 0.6903064861392405, -1.1975325657487423, -1.1975325657487423]",0.6903064861392405,0.7526888733307614,0.7124962605746601,0.6903064861392405,-1.1975325657487423,-1.1975325657487423,-1.1975325657487423
50,300: Rise of an Empire,"[6.877014275362319, 2.532079787878788, 2.0689095545454546, 2.065289, 1.8936243, 1.213237551020408, 1.0066666666666666, 0.41340740666666664]",1.97945665,6.877014275362319,2.532079787878788,2.0689095545454546,2.065289,1.8936243,0.41340740666666664,"[nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[1.1213223045436547, 1.0175484289533383, 0.9657289323592184, 0.8217558434799802, 0.5239605398899453]",0.9657289323592184,1.1213223045436547,1.0175484289533383,0.9657289323592184,0.8217558434799802,0.5239605398899453,0.5239605398899453
51,3:10 to Yuma,"[5.113189575, 4.454381440316682, 3.99348853125, 3.37110484, 3.2825626666666667, 2.7503428, 2.5120414555555555, 2.00540294, 1.878127675, 1.7257052511363637, 1.7248242738888888, 1.66465037, 1.5243465, 1.3763012242424244, 1.1814423333333333, 0.458041825, 0.27302218181818183, 0.27302218181818183, 0.27302218181818183, 0.27302218181818183, 0.27302218181818183]",1.7248242738888888,5.113189575,4.454381440316682,3.99348853125,3.37110484,3.2825626666666667,0.27302218181818183,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[1.132813036489251, 0.5324681577807489, 0.5284240997724615, 0.2965355490695517, 0.2413937442609935]",0.5284240997724615,1.132813036489251,0.5324681577807489,0.5284240997724615,0.2965355490695517,0.2413937442609935,0.2413937442609935
53,42,"[1.375505325, 1.375505325, 1.055470005, 0.7761352380952381]",1.215487665,1.375505325,1.375505325,1.055470005,0.7761352380952381,0.0,0.7761352380952381,"[nan, nan, nan, nan]",,,,,,"[1.238314840063862, 0.8652101832756668, 0.8652101832756668, 0.6085517430538199, 0.159579072394593]",0.8652101832756668,1.238314840063862,0.8652101832756668,0.8652101832756668,0.6085517430538199,0.159579072394593,0.159579072394593
55,47 Ronin,"[2.26256415, 1.8936243, 1.216583875, 1.131321357142857, 1.0, 0.9700806454545454, -0.1373572857142857, -0.1373572857142857, -0.1373572857142857]",1.0,2.26256415,1.8936243,1.216583875,1.131321357142857,1.0,-0.1373572857142857,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[0.9127999031422878, 0.09078222789861802, 0.03976831959975508, -0.14775467792607488, -0.21336304774815543]",0.03976831959975508,0.9127999031422878,0.09078222789861802,0.03976831959975508,-0.14775467792607488,-0.21336304774815543,-0.21336304774815543
57,50 First Dates,"[2.6129063, 2.457682540891473, 1.9076395376958915, 1.115042025, 0.94792562375]",1.9076395376958915,2.6129063,2.457682540891473,1.9076395376958915,1.115042025,0.94792562375,0.94792562375,"[nan, nan, nan, nan, nan]",,,,,,"[1.6330145909837004, 1.460146496403833, 0.9630871994744998, 0.9334596980490362, 0.5450115537012984]",0.9630871994744998,1.6330145909837004,1.460146496403833,0.9630871994744998,0.9334596980490362,0.5450115537012984,0.5450115537012984
58,50/50,"[3.898472875, 3.898472875, 3.7950061875000003, 2.5844506295454543, 2.5397831, 2.4454864375, 2.2986668, 2.0270297333333334, 1.7385504475, 1.7265014444444444, 1.6280978, 1.289472375510204]",2.37207661875,3.898472875,3.898472875,3.7950061875000003,2.5844506295454543,2.5397831,1.289472375510204,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[1.5889234983778175, 0.8816964649951231, 0.7271316121343263, 0.5107492458492718, -0.35361767410251777]",0.7271316121343263,1.5889234983778175,0.8816964649951231,0.7271316121343263,0.5107492458492718,-0.35361767410251777,-0.35361767410251777
60,54,"[1.7265014444444444, 1.1825025, 0.8984770666666667, 0.8310254, 0.7536645087301588, -0.13665541459276018]",0.8647512333333334,1.7265014444444444,1.1825025,0.8984770666666667,0.8310254,0.7536645087301588,-0.13665541459276018,"[nan, nan, nan, nan, nan, nan]",,,,,,"[0.8714533787637677, 0.25387645118789315, 0.25387645118789315, 0.25387645118789315, 0.25387645118789315]",0.25387645118789315,0.8714533787637677,0.25387645118789315,0.25387645118789315,0.25387645118789315,0.25387645118789315,0.25387645118789315
